State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Papaya,Papaya,"Grade Range-1",05/03/2026,2000,2400,2200
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Pomegranate,Pomogranate,"Grade B",05/03/2026,11800,12200,12000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Ginger(Green),"Green Ginger","Grade A",05/03/2026,6300,6700,6500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Cauliflower,Cauliflower,Local,05/03/2026,400,800,600
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Sweet Potato","Sweet Potato","Grade B",05/03/2026,5800,6200,6000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Tinda,Tinda,"Grade A",05/03/2026,1700,2100,1900
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Methi(Leaves),Methi,Local,05/03/2026,1200,1600,1400
Assam,Nagaon,"Ambagan APMC","Green Chilli","Green Chilly",FAQ,05/03/2026,2500,2700,2600
Assam,Nagaon,"Ambagan APMC","French Beans(Frasbean)","French Beans (Frasbean)",FAQ,05/03/2026,1800,2000,1900
Assam,Nagaon,"Haibargaon APMC","Bitter gourd","Bitter Gourd",FAQ,05/03/2026,1650,1850,1750
Assam,Nagaon,"Haibargaon APMC",Capsicum,Capsicum,FAQ,05/03/2026,1900,2100,2000
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Papaya,Papaya,Local,05/03/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Tomato,Local,Local,05/03/2026,1000,1200,1100
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Banana - Green","Banana - Green",Local,05/03/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Carrot,Pusakesar,Local,05/03/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Raddish,Raddish,Local,05/03/2026,1200,1400,1300
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Lemon,Lemon,Local,05/03/2026,9500,10000,9750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Amla(Nelli Kai)",Amla,Local,05/03/2026,6500,7000,6750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Onion Green","Onion Green",Local,05/03/2026,3300,3600,3450
